group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.4377131247069818,0.053801765105227425,0.4623143653083893,0.09173619468510992,0.3085539714867617
easy,598,0.5888590968814994,0.027814938684503902,0.8344481605351171,0.05383536519581399,0.8344481605351171
medium,558,0.40143896111137484,0.047192353643966546,0.526284348864994,0.08642201585749973,0.3942652329749104
hard,1790,0.39852636041982387,0.06454376163873371,0.31805109135857446,0.10605463480824147,0.10614525139664804
multi-table,580,0.45449374678734455,0.08885057471264368,0.6527158468673895,0.1528753315607418,0.4827586206896552
multi-table + multi text,586,0.42690354840186173,0.07627986348122867,0.3469082088749324,0.12356395153441369,0.06313993174061433
multi-text,583,0.46072308721321975,0.051515151515151514,0.3327180776151617,0.08743948812867387,0.13379073756432247
single table+multi text,599,0.2587507731321767,0.02604340567612688,0.14547592548427274,0.04341885087115786,0.025041736227045076
single-table,598,0.5888590968814994,0.027814938684503902,0.8344481605351171,0.05383536519581399,0.8344481605351171
