group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.31315150262345404,0.04839330165195745,0.4219791774855286,0.08260004599954052,0.2834351663272234
easy,598,0.4281538486448649,0.02636566332218506,0.7909698996655519,0.051030316107454954,0.7909698996655519
medium,558,0.2835680683573534,0.042532855436081235,0.46953405017921146,0.07783479960899317,0.3548387096774194
hard,1790,0.28395382295847105,0.057579143389199255,0.2838830485320488,0.09463228396679893,0.09162011173184358
multi-table,580,0.31331394361542536,0.08499999999999999,0.6057686241465733,0.14567762618354627,0.4482758620689655
multi-table + multi text,586,0.29764083450900536,0.06569965870307168,0.2957860280599188,0.10631099242164749,0.05631399317406143
multi-text,583,0.33952075740391546,0.04608347627215552,0.303830822312812,0.07851541497386826,0.11149228130360206
single table+multi text,599,0.18769300058991611,0.020255982192543126,0.11409160770596496,0.03381945710697965,0.00667779632721202
single-table,598,0.4281538486448649,0.02636566332218506,0.7909698996655519,0.051030316107454954,0.7909698996655519
