group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.17777701896304315,0.028592441728897935,0.261950833351171,0.049029919368812076,0.1680244399185336
easy,598,0.20523481702780585,0.016889632107023413,0.5066889632107023,0.03268961052972273,0.5066889632107023
medium,558,0.1986586308993198,0.028793309438470728,0.3210872162485065,0.05272822309112632,0.24372759856630824
hard,1790,0.1620945034864116,0.03243947858472998,0.16175446278540956,0.0533359814965909,0.03128491620111732
multi-table,580,0.2875730941838332,0.06459770114942529,0.46501774994515466,0.11095214430755512,0.2689655172413793
multi-table + multi text,586,0.20161027416876237,0.041524459613196806,0.18371125698344126,0.06687342678776906,0.006825938566552901
multi-text,583,0.16036948382900387,0.016466552315608923,0.12718696397941678,0.028646605032956723,0.051457975986277875
single table+multi text,599,0.03767821856539237,0.004563160823594881,0.028701274611124362,0.007767467167809328,0.00333889816360601
single-table,598,0.20523481702780585,0.016889632107023413,0.5066889632107023,0.03268961052972273,0.5066889632107023
