group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.40698543182672753,0.05065625707173568,0.4295209701804728,0.08613805773980628,0.2739307535641548
easy,598,0.6317189035107675,0.026142697881828315,0.7842809364548495,0.05059877009386125,0.7842809364548495
medium,558,0.3357972988443262,0.04175627240143369,0.46624850657108713,0.07647374280438797,0.35304659498207885
hard,1790,0.35409848329998117,0.061620111731843584,0.2995542522262604,0.10102363413435293,0.07877094972067039
multi-table,580,0.43546888127490735,0.08919540229885058,0.6189458477094593,0.15217293211606367,0.4017241379310345
multi-table + multi text,586,0.37589508110886527,0.07076222980659841,0.3196313924982867,0.11446081033356377,0.034129692832764506
multi-text,583,0.3721707692873286,0.04671240708976558,0.3030847559149446,0.07926159906555161,0.12864493996569468
single table+multi text,599,0.21934749699223113,0.021981079577072897,0.12250046373585606,0.03666244715749308,0.01669449081803005
single-table,598,0.6317189035107675,0.026142697881828315,0.7842809364548495,0.05059877009386125,0.7842809364548495
