group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.3890684247114747,0.04286037565059968,0.3861900996856512,0.07334794612015172,0.2695179904955872
easy,598,0.5855094674531196,0.02519509476031215,0.7558528428093646,0.04876469953608804,0.7558528428093646
medium,558,0.3676733071332384,0.03930704898446833,0.43727598566308246,0.07196969696969698,0.35125448028673834
hard,1790,0.33011129177804016,0.049869646182495335,0.24676873389604942,0.08199031733982985,0.08156424581005586
multi-table,580,0.5058778286083303,0.08218390804597701,0.5867554662518364,0.14077820048818426,0.43448275862068964
multi-table + multi text,586,0.38137284370704294,0.05830489192263936,0.26576779307154735,0.09448789786961305,0.03583617747440273
multi-text,583,0.302822445946384,0.03344768439108062,0.22627215551743857,0.05717557320202442,0.10463121783876501
single table+multi text,599,0.17132187758119904,0.016471897607122983,0.09639610991864749,0.027657988874567586,0.01335559265442404
single-table,598,0.5855094674531196,0.02519509476031215,0.7558528428093646,0.04876469953608804,0.7558528428093646
