group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.11360790316967927,0.014799728445349627,0.14976174850625487,0.02543064794832708,0.08078750848608282
easy,598,0.10429597820946152,0.01254180602006689,0.3762541806020067,0.02427446326464559,0.3762541806020067
medium,558,0.10283046268659343,0.011708482676224614,0.12903225806451613,0.021423916585206905,0.01971326164874552
hard,1790,0.1200784858041888,0.016517690875232773,0.08055760396616027,0.027065929815065955,0.0011173184357541898
multi-table,580,0.1913979990739217,0.027413793103448273,0.1938716901670622,0.04695531760141134,0.01896551724137931
multi-table + multi text,586,0.13646627498133276,0.019510807736063708,0.08758693430195136,0.031455992797663986,0.0
multi-text,583,0.08979110167314532,0.009605488850771872,0.05828432573715592,0.016172214047514753,0.003430531732418525
single table+multi text,599,0.04839999814897794,0.0052865887590428495,0.03079603572091051,0.008859537638669007,0.0
single-table,598,0.10429597820946152,0.01254180602006689,0.3762541806020067,0.02427446326464559,0.3762541806020067
