group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.11030589188766236,0.017447386286490157,0.14776739705925576,0.029910629455940495,0.09402579769178547
easy,598,0.070550517193378,0.0069119286510590855,0.20735785953177258,0.013377926421404682,0.20735785953177258
medium,558,0.1444979069812332,0.02007168458781362,0.22729988052568695,0.03679605191701966,0.15412186379928317
hard,1790,0.11292855649379059,0.02014897579143389,0.10306671419175094,0.033287439892460184,0.037430167597765365
multi-table,580,0.1998755227597746,0.03913793103448276,0.3091552571747671,0.06824386614022895,0.22241379310344828
multi-table + multi text,586,0.18230705325546046,0.031911262798634814,0.1452590948111426,0.051750582310697436,0.010238907849829351
multi-text,583,0.06908056065686384,0.007775871926815323,0.0671587846116148,0.013673656821753833,0.030874785591766724
single table+multi text,599,0.032951994904995965,0.0022259321090706734,0.012917031030553567,0.003735707603867644,0.0
single-table,598,0.070550517193378,0.0069119286510590855,0.20735785953177258,0.013377926421404682,0.20735785953177258
