group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.3661769917113193,0.04599456890699253,0.40344632021325666,0.07860858146857246,0.2661235573659199
easy,598,0.521419332097349,0.024637681159420288,0.7391304347826086,0.047685834502103785,0.7391304347826086
medium,558,0.34257354565268694,0.043249701314217445,0.48118279569892475,0.07918906810035842,0.3655913978494624
hard,1790,0.321671853917951,0.05398510242085661,0.2670686365074045,0.08875824132634434,0.07709497206703911
multi-table,580,0.4008672652246971,0.08051724137931034,0.5887497507030175,0.13845753546416273,0.4051724137931034
multi-table + multi text,586,0.36675993733655504,0.06592718998862343,0.3008041328220509,0.10681289384683963,0.051194539249146756
multi-text,583,0.3651831294350506,0.04070897655803316,0.27614493377786686,0.06954307778540757,0.1097770154373928
single table+multi text,599,0.1780009272406536,0.019532554257095158,0.11321249701884092,0.03276028591285702,0.021702838063439065
single-table,598,0.521419332097349,0.024637681159420288,0.7391304347826086,0.047685834502103785,0.7391304347826086
