group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.08072544946202113,0.010579316587463226,0.0711308573673243,0.0177591579755106,0.01188051595383571
easy,598,0.012825879415668023,0.0017279821627647714,0.051839464882943144,0.0033444816053511705,0.051839464882943144
medium,558,0.07568849680031017,0.00919952210274791,0.10424133811230585,0.016865564244596502,0.007168458781362007
hard,1790,0.10497939497763782,0.013966480446927373,0.06725410007679929,0.0228533489091449,0.0
multi-table,580,0.15427593259312725,0.022701149425287358,0.16171226585473408,0.03888800411344566,0.005172413793103448
multi-table + multi text,586,0.12805719724072812,0.017064846416382253,0.07423082700386455,0.027399630858011392,0.0
multi-text,583,0.06781948161175891,0.007204116638078902,0.04597525116393041,0.01221278645067471,0.0017152658662092624
single table+multi text,599,0.04355088807647559,0.004618809126321647,0.02413281394917455,0.007658094868977817,0.0
single-table,598,0.012825879415668023,0.0017279821627647714,0.051839464882943144,0.0033444816053511705,0.051839464882943144
