group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.2668758771719313,0.03355962887531115,0.32956986429759505,0.05791878715217303,0.2328581126951799
easy,598,0.4736974720388201,0.02385730211817168,0.7157190635451505,0.046175423454525834,0.7157190635451505
medium,558,0.21746029570142383,0.033751493428912774,0.3802270011947432,0.06185171608558706,0.2939068100358423
hard,1790,0.21318569880888305,0.03674115456238361,0.18477438746036218,0.06061596991549593,0.05251396648044693
multi-table,580,0.25334131046378494,0.06155172413793104,0.46829813813933585,0.10642535697617296,0.36379310344827587
multi-table + multi text,586,0.25347804090369946,0.044709897610921506,0.2074717944171869,0.07275363390874484,0.02218430034129693
multi-text,583,0.25827405209517973,0.02801600914808462,0.19301301423942935,0.04795602030087637,0.0548885077186964
single table+multi text,599,0.09498394233596359,0.010628825820812466,0.06209489360574502,0.017858342858730503,0.00333889816360601
single-table,598,0.4736974720388201,0.02385730211817168,0.7157190635451505,0.046175423454525834,0.7157190635451505
