group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.3829128502053671,0.04544014482914687,0.39664143363494847,0.07741470568969205,0.2593346911065852
easy,598,0.6107564238303707,0.025306577480490523,0.7591973244147158,0.04898047254288488,0.7591973244147158
medium,558,0.32881852617859647,0.04032258064516128,0.4450418160095579,0.07378896491799718,0.32974910394265233
hard,1790,0.32365819980267757,0.05376163873370576,0.2604314693604608,0.08804422232231575,0.07039106145251396
multi-table,580,0.4376837712695792,0.08775862068965518,0.6052201624751534,0.14954054929917454,0.4068965517241379
multi-table + multi text,586,0.3458704683515379,0.06012514220705347,0.2746793451144987,0.09732656241955749,0.02901023890784983
multi-text,583,0.3056410735921197,0.035334476843910806,0.23086865964224457,0.05997754157593837,0.08404802744425385
single table+multi text,599,0.21386224968261547,0.02003338898163606,0.113388054164348,0.03345510763110788,0.01335559265442404
single-table,598,0.6107564238303707,0.025306577480490523,0.7591973244147158,0.04898047254288488,0.7591973244147158
