group,count,nDCG@30,Precision@30,Recall@30,F1@30,EM@30
overall,2946,0.3468674028960464,0.04510070151618013,0.39330799999815974,0.07686026303635803,0.2494908350305499
easy,598,0.528162336275941,0.02508361204013378,0.7525083612040134,0.048548926529291186,0.7525083612040134
medium,558,0.3082969099211523,0.03936678614097969,0.4360812425328554,0.07205794504181601,0.3118279569892473
hard,1790,0.29832436653784183,0.05357541899441341,0.259973203721366,0.08781549916606776,0.06201117318435754
multi-table,580,0.416373399564518,0.08856321839080458,0.6101673336745932,0.15093337800655177,0.3931034482758621
multi-table + multi text,586,0.3168904645540587,0.061149032992036396,0.27940811558559,0.09912488496565813,0.032423208191126277
multi-text,583,0.3205034263292009,0.03499142367066895,0.22978028261047126,0.0594546107985455,0.058319039451114926
single table+multi text,599,0.15355995043859244,0.01713967723984418,0.09531428041444735,0.028560095010629182,0.00667779632721202
single-table,598,0.528162336275941,0.02508361204013378,0.7525083612040134,0.048548926529291186,0.7525083612040134
